,Resultado
1,O$O=C(O)O$MNXR96483_MNXM60$NOEC
2,O$O=C(O)O$MNXR100482_MNXM60$4.2.1.1
3,O=C=O$O=C(O)O$MNXR100482_MNXM60$4.2.1.1
4,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$O=C(O)O$MNXR103100_MNXM60$6.4.1.3
5,O=P(O)(O)O$O=C(O)O$MNXR103100_MNXM60$6.4.1.3
6,O$O=C(O)O$MNXR109681_MNXM60$3.5.2.15
7,Oc1nc(O)nc(O)n1$O=C(O)O$MNXR109681_MNXM60$3.5.2.15
8,O$O=C(O)O$MNXR111420_MNXM60$NOEC
9,O=C(O)c1ccc(C(=O)O)cc1$O=C(O)O$MNXR111420_MNXM60$NOEC
10,O=O$O=C(O)O$MNXR113556_MNXM60$1.13.11.73
11,O=P(O)(O)CCO$O=C(O)O$MNXR113556_MNXM60$1.13.11.73
12,CC(O)C(N=C(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(=O)O$O=C(O)O$MNXR113802_MNXM60$2.7.7.87
13,O$O=C(O)O$MNXR113802_MNXM60$2.7.7.87
14,C=C(Oc1cccc(C(=O)O)c1)C(=O)O$O=C(O)O$MNXR113988_MNXM60$2.5.1.120
15,O$O=C(O)O$MNXR113988_MNXM60$2.5.1.120
16,CC(C=O)C(=O)O$O=C(O)O$MNXR114956_MNXM60$1.2.1.27
17,O$O=C(O)O$MNXR114956_MNXM60$1.2.1.27
18,O$O=C(O)O$MNXR115818_MNXM60$1.3.1.53
19,O=C(O)C1=CC(O)C(O)(C(=O)O)C=C1$O=C(O)O$MNXR115818_MNXM60$1.3.1.53
20,CC(C=O)C(=O)O$O=C(O)O$MNXR116785_MNXM60$1.2.1.27
21,O$O=C(O)O$MNXR116785_MNXM60$1.2.1.27
22,N=C(O)OP(=O)(O)O$O=C(O)O$MNXR126303_MNXM60$NOEC
23,O$O=C(O)O$MNXR126303_MNXM60$NOEC
24,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$O=C(O)O$MNXR128062_MNXM60$NOEC
25,O=P(O)(O)O$O=C(O)O$MNXR128062_MNXM60$NOEC
26,O=P(O)(O)O$O=C(O)O$MNXR128063_MNXM60$NOEC
